address,neighborhood,list_price,lat,lon,estimator_low,estimator_final,estimator_high,estimator_range,delta_list_minus_estimator,delta_estimator_minus_list,confidence_score,confidence_label,error
752 MATTSON DR SW,Mattson,499900.0,53.4078504,-113.4361767,374126.64,513910.22,653693.8,279567.16000000003,-14010.219999999972,14010.219999999972,96.5,high,
2635 62 ST SW,Charlesworth,469900.0,53.4310213,-113.4363415,397142.28,466471.55,535800.82,138658.53999999992,3428.4500000000116,-3428.4500000000116,99.0,high,
772 MATTSON DR SW,Mattson,479900.0,53.4078504,-113.4361767,374126.64,513910.22,653693.8,279567.16000000003,-34010.21999999997,34010.21999999997,96.5,high,
6235 29 AV SW,Mattson,556395.0,53.4065652,-113.4362232,140758.06,167541.52,194324.98,53566.92000000001,388853.48,-388853.48,96.5,high,
762 MATTSON DR SW,Mattson,519900.0,53.4078504,-113.4361767,374126.64,513910.22,653693.8,279567.16000000003,5989.780000000028,-5989.780000000028,96.5,high,
16131 109A AV NW,Mayfield,499000.0,53.5544247,-113.5994761,304468.39,371931.32,439394.25,134925.86,127068.68,-127068.68,99.0,high,
16165 109 AV NW NW,Spruce Avenue,319000.0,53.5616058,-113.5091605,10488090.1,13800118.55,17112147.0,6624056.9,-13481118.55,13481118.55,87.0,high,
16131 109 AV NW,Mayfield,339500.0,53.5535389,-113.6000494,242761.89,309170.94,375579.99,132818.09999999998,30329.059999999998,-30329.059999999998,99.0,high,
16101 107A AV NW,Mayfield,409900.0,53.5518073,-113.6006146,306591.21,369547.68,432504.15,125912.94,40352.32000000001,-40352.32000000001,99.0,high,
10938 157 ST NW,Mayfield,667999.0,53.5547416,-113.591516,437312.79,575411.56,713510.33,276197.54,92587.43999999994,-92587.43999999994,99.0,high,
10832 163 ST NW,Mayfield,469900.0,53.5535214,-113.6025462,298526.06,392797.45,487068.84,188542.78000000003,77102.54999999999,-77102.54999999999,99.0,high,
10913 159 ST NW,Mayfield,575000.0,53.5525005,-113.5957176,244570.18,317399.35,390228.52,145658.34000000003,257600.65000000002,-257600.65000000002,99.0,high,
15911 108 AV NW,Mayfield,399900.0,53.552639,-113.5961408,243478.07,306597.08,369716.09,126238.02000000002,93302.91999999998,-93302.91999999998,99.0,high,
16507 81 ST NW,Cromdale,570000.0,53.5578657,-113.4654248,363771.73,478647.01,593522.29,229750.56000000006,91352.98999999999,-91352.98999999999,99.0,high,
16407 81 ST NW,Kilkenny,524900.0,53.6087427,-113.4663141,303523.19,381191.68,458860.17,155336.97999999998,143708.32,-143708.32,99.0,high,
10927 93 ST NW NW,McCauley,199000.0,53.5576201,-113.4819829,220678.43,290366.35,360054.27,139375.84000000003,-91366.34999999998,91366.34999999998,99.0,high,
10734 93 ST NW,McCauley,274900.0,53.5543257,-113.4803111,151831.81,199778.7,247725.59,95893.78,75121.29999999999,-75121.29999999999,99.0,high,
9544 110 Avenue NW,McCauley,420000.0,53.557906,-113.4879586,174596.62,229732.39,284868.16,110271.53999999998,190267.61,-190267.61,99.0,high,
9526 109A AV NW,McCauley,419900.0,53.55719,-113.4866929,281471.24,370356.9,459242.56,177771.32,49543.09999999998,-49543.09999999998,99.0,high,
