address,beds,baths,square_footage,price,link,neighborhood,lat,long
10124 82 ST NW,5,4,1751,"$789,900",https://www.realtor.ca/real-estate/29246982/10124-82-st-nw-edmonton-forest-heights-edmonton,Forest Heights,53.5420718,-113.4544848
15120 20 ST NW,4,2,1047,"$299,900",https://www.realtor.ca/real-estate/29552531/15120-20-st-nw-edmonton-fraser,Gorman,53.6170502,-113.3710454
647 FRASER VISTA VS NW,4,4,3261,"$889,900",https://www.realtor.ca/real-estate/29538620/647-fraser-vista-vs-nw-edmonton-fraser,Fraser,53.6112093,-113.3583689
1012 148 AV NW,7,5,2937,"$819,000",https://www.realtor.ca/real-estate/29531543/1012-148-av-nw-edmonton-fraser,Caernarvon,53.6096742,-113.5208891
14518 23 ST NW,3,2,1204,"$267,900",https://www.realtor.ca/real-estate/29529797/14518-23-st-nw-edmonton-fraser,Fraser,53.6093811,-113.3756684
15108 11 ST NW,6,5,2543,"$829,000",https://www.realtor.ca/real-estate/29529602/15108-11-st-nw-edmonton-fraser,Tamarack,53.4729544,-113.3581672
292 FRASER WY NW,3,3,2189,"$679,900",https://www.realtor.ca/real-estate/29500227/292-fraser-wy-nw-edmonton-fraser,Gorman,53.6147108,-113.3685880
2111 146 AV NW,4,2,918,"$414,900",https://www.realtor.ca/real-estate/29497223/2111-146-av-nw-edmonton-fraser,Caernarvon,53.6082462,-113.5234563
1873 151 AV NW,3,2,1183,"$329,000",https://www.realtor.ca/real-estate/29490914/1873-151-av-nw-edmonton-fraser,Caernarvon,53.6112992,-113.5231846
1531 151 AV NW,5,4,2689,"$779,000",https://www.realtor.ca/real-estate/29488798/1531-151-av-nw-edmonton-fraser,Caernarvon,53.6112992,-113.5231846
1104 152 AV NW,5,4,2761,"$737,900",https://www.realtor.ca/real-estate/29457172/1104-152-av-nw-edmonton-fraser,Miller,53.6146503,-113.4165101
1703 152 AV NW,4,3,2065,"$625,000",https://www.realtor.ca/real-estate/29439397/1703-152-av-nw-edmonton-fraser,McLeod,53.6128943,-113.4353980
6511 103 AV NW,5,2,1078,"$509,000",https://www.realtor.ca/real-estate/29515386/6511-103-av-nw-edmonton-fulton-place,Fulton Place,53.5458652,-113.4316107
6909 FULTON DR NW,4,2,1241,"$543,789",https://www.realtor.ca/real-estate/29508977/6909-fulton-dr-nw-edmonton-fulton-place,Fulton Place,53.5458558,-113.4356565
#118 6220 FULTON RD NW,2,2,1122,"$250,000",https://www.realtor.ca/real-estate/29406982/118-6220-fulton-rd-nw-edmonton-fulton-place,Fulton Place,53.5459164,-113.4273140
#308 6220 FULTON RD NW,2,2,1132,"$299,900",https://www.realtor.ca/real-estate/29210396/308-6220-fulton-rd-nw-edmonton-fulton-place,Fulton Place,53.5459164,-113.4273140
#114 6220 FULTON RD NW,2,2,1123,"$274,900",https://www.realtor.ca/real-estate/28778913/114-6220-fulton-rd-nw-edmonton-fulton-place,Fulton Place,53.5459164,-113.4273140
#303 6220 FULTON RD NW,2,2,1099,"$290,000",https://www.realtor.ca/real-estate/28752631/303-6220-fulton-rd-nw-edmonton-fulton-place,Fulton Place,53.5459164,-113.4273140
