neighbourhood_number,neighbourhood,ward,population_2021,households_2021,area_sq_km,population_characteristic,households_characteristic,source_area_id,geography_level
5270,LENDRUM PLACE,papastew,1765.0,720.0,0.8517347425222397,total_population,sum_household_size_distribution,N5270,neighbourhood
5280,MALMO PLAINS,papastew,2385.0,1040.0,0.9330261088907719,total_population,sum_household_size_distribution,N5280,neighbourhood
5290,MCKERNAN,papastew,2565.0,1060.0,0.8708466440439224,total_population,sum_household_size_distribution,N5290,neighbourhood
5300,OGILVIE RIDGE,pihêsiwin,935.0,350.0,0.519127894192934,total_population,sum_household_size_distribution,N5300,neighbourhood
5310,PARKALLEN,papastew,2235.0,990.0,0.841723907738924,total_population,sum_household_size_distribution,N5310,neighbourhood
5320,PLEASANTVIEW,papastew,3930.0,1765.0,1.4678539521992207,total_population,sum_household_size_distribution,N5320,neighbourhood
5330,QUEEN ALEXANDRA,papastew,5030.0,2845.0,1.2255385629832745,total_population,sum_household_size_distribution,N5330,neighbourhood
5340,RAMSAY HEIGHTS,pihêsiwin,3280.0,1340.0,1.2997325770556927,total_population,sum_household_size_distribution,N5340,neighbourhood
5350,RHATIGAN RIDGE,pihêsiwin,3140.0,1105.0,1.3326491564512253,total_population,sum_household_size_distribution,N5350,neighbourhood
5360,RIDEAU PARK,papastew,1725.0,760.0,0.794904563575983,total_population,sum_household_size_distribution,N5360,neighbourhood
5370,RIVER VALLEY MAYFAIR,papastew,,,2.3283437751233578,,,N5370,neighbourhood
5380,RIVER VALLEY TERWILLEGAR,pihêsiwin,,,3.051841080188751,,,N5380,neighbourhood
5390,RIVER VALLEY WALTERDALE,papastew,,,1.4748300276696682,,,N5390,neighbourhood
5400,RIVER VALLEY WHITEMUD,papastew,,,1.5019870586693287,,,N5400,neighbourhood
5401,RIVER VALLEY FORT EDMONTON,pihêsiwin,,,0.9822915457189083,,,N5401,neighbourhood
5405,RIVER VALLEY WINDERMERE,pihêsiwin,,,2.805233184248209,,,N5405,neighbourhood
5430,ROYAL GARDENS,papastew,3390.0,1340.0,1.2083704993128777,total_population,sum_household_size_distribution,N5430,neighbourhood
5451,RICHFORD,Ipiihkoohkanipiaohtsi,860.0,370.0,0.5860777609050274,total_population,sum_household_size_distribution,N5451,neighbourhood
5452,MACEWAN,Ipiihkoohkanipiaohtsi,6105.0,2485.0,1.1313267759978771,total_population,sum_household_size_distribution,N5452,neighbourhood
5453,BLACKMUD CREEK,Ipiihkoohkanipiaohtsi,2790.0,1030.0,0.77409353479743,total_population,sum_household_size_distribution,N5453,neighbourhood
5454,RUTHERFORD,Ipiihkoohkanipiaohtsi,11620.0,4235.0,2.231129925698042,total_population,sum_household_size_distribution,N5454,neighbourhood
5456,HERITAGE VALLEY AREA,Ipiihkoohkanipiaohtsi,,,1.305851075798273,,,N5456,neighbourhood
